number,height,weight,name,type,ThumbnailImage
650,4,90,Chespin,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/650.png
651,7,290,Quilladin,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/651.png
652,16,900,Chesnaught,"grass, fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/652.png
653,4,94,Fennekin,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/653.png
654,10,145,Braixen,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/654.png
655,15,390,Delphox,"fire, psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/655.png
656,3,70,Froakie,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/656.png
657,6,109,Frogadier,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/657.png
658,15,400,Greninja,"water, dark",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/658.png
659,4,50,Bunnelby,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/659.png
660,10,424,Diggersby,"normal, ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/660.png
263,4,175,Zigzagoon,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/263.png
264,5,325,Linoone,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/264.png
661,3,17,Fletchling,"normal, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/661.png
662,7,160,Fletchinder,"fire, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/662.png
663,12,245,Talonflame,"fire, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/663.png
16,3,18,Pidgey,"normal, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,11,300,Pidgeotto,"normal, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,15,395,Pidgeot,"normal, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
664,3,25,Scatterbug,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/664.png
665,3,84,Spewpa,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/665.png
666,12,170,Vivillon,"bug, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/666.png
10,3,29,Caterpie,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,7,99,Metapod,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,11,320,Butterfree,"bug, flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,3,32,Weedle,"bug, poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,6,100,Kakuna,"bug, poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,10,295,Beedrill,"bug, poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
511,6,105,Pansage,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/511.png
512,11,305,Simisage,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/512.png
513,6,110,Pansear,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/513.png
514,10,280,Simisear,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/514.png
515,6,135,Panpour,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/515.png
